lead_id,channel,message_text,message_hour,message_length,high_intent_flag,prev_contacts,response_gap_hrs,replied
L0475,Phone Inquiry,buy available,20,67,1,2,33.63,0
L0476,WhatsApp,just checking hello okay,20,58,0,1,11.93,1
L0477,Website Chat,thanks hi hello,8,255,0,1,86.93,0
L0478,Website Chat,just checking just checking hello,16,17,0,0,29.14,0
L0479,WhatsApp,price buy interested,13,120,1,1,1.46,1
L0480,WhatsApp,need a quote please,11,176,1,2,21.58,0
L0481,Website Chat,okay hello just checking,8,177,0,1,11.97,1
L0482,Website Chat,thanks hello thanks,9,290,0,1,1.81,1
L0483,Website Chat,price,8,288,1,1,85.2,0
L0484,Email,buy buy interested,20,224,1,1,0.75,1
L0485,Email,thanks just checking thanks,8,203,0,1,7.4,1
L0486,WhatsApp,how much for demo,12,240,0,1,96.34,0
L0487,WhatsApp,how much,14,46,1,2,7.14,1
L0488,Phone Inquiry,buy buy available,20,287,1,1,4.17,1
L0489,WhatsApp,hello,13,278,0,3,130.93,0
L0490,WhatsApp,hi,11,201,0,2,7.72,1
L0491,Website Chat,just checking okay thanks,20,195,0,1,5.76,1
L0492,Website Chat,quote,19,205,1,1,2.64,1
L0493,Email,okay thanks hello,16,174,0,4,27.91,1
L0494,Email,just checking,11,15,0,0,4.22,1
L0495,Phone Inquiry,interested price,16,133,1,2,31.36,0
L0496,Website Chat,thanks hi okay,9,174,0,0,8.38,1
L0497,WhatsApp,demo,13,227,1,2,8.07,1
L0498,WhatsApp,buy quote buy,18,235,1,0,29.62,0
L0499,Phone Inquiry,price available,8,167,1,4,33.14,1
L0500,Email,buy,10,154,1,1,62.98,1
